policy,bufferSize,nPages,writePct,logicalReads,logicalWrites,physicalReads,physicalWrites,cacheHits,cacheMisses
1,20,200,0,2020,200,17980,400,2020,17980
1,20,200,10,2033,2119,17967,4230,2033,17967
1,20,200,30,2018,5980,17982,11944,2018,17982
1,20,200,50,1998,9694,18002,19372,1998,18002
1,20,200,70,2005,13159,17995,26290,2005,17995
1,20,200,90,2087,16528,17913,33020,2087,17913
2,20,200,0,2003,200,17997,400,2003,17997
2,20,200,10,1990,2143,18010,4282,1990,18010
2,20,200,30,2030,5960,17970,11902,2030,17970
2,20,200,50,2033,9730,17967,19444,2033,17967
2,20,200,70,1964,13232,18036,26438,1964,18036
2,20,200,90,1961,16591,18039,33154,1961,18039
