policy,bufferSize,nPages,writePct,logicalReads,logicalWrites,physicalReads,physicalWrites,cacheHits,cacheMisses
1,20,200,0,1934,200,18066,400,1934,18066
1,20,200,10,1972,2173,18028,4342,1972,18028
1,20,200,30,1965,6093,18035,12170,1965,18035
1,20,200,50,2036,9583,17964,19150,2036,17964
1,20,200,70,1956,13215,18044,26402,1956,18044
1,20,200,90,1946,16605,18054,33172,1946,18054
2,20,200,0,2069,200,17931,400,2069,17931
2,20,200,10,2027,2119,17973,4232,2027,17973
2,20,200,30,2031,5976,17969,11944,2031,17969
2,20,200,50,1949,9634,18051,19254,1949,18051
2,20,200,70,1967,13236,18033,26438,1967,18033
2,20,200,90,1947,16645,18053,33254,1947,18053
